moduleColors,n,Zsummary.pres,num
turquoise,3380,7.953424803,1
blue,2141,0.457779057,2
brown,1685,10.00908935,3
yellow,1211,6.968160025,4
green,1189,-0.999200194,5
red,1120,-4.444958418,6
black,1020,-0.133514262,7
pink,988,0.664543021,8
magenta,587,-0.089059508,9
purple,464,6.868375105,10
greenyellow,458,-4.392289754,11
darkred,439,1.672592841,12
tan,398,1.577441491,13
salmon,363,6.657894921,14
cyan,357,-1.40353385,15
midnightblue,346,-1.522707077,16
lightcyan,332,4.779475834,17
grey60,252,4.690797527,18
lightgreen,230,3.626209656,19
royalblue,221,-2.819473486,20
darkgreen,196,-1.068215714,21
darkturquoise,174,-0.63061005,22
darkgrey,172,2.972234277,23
orange,170,5.053144722,24
darkorange,129,-0.461131382,25
white,94,-0.665278304,26
skyblue,81,0.85012085,27
saddlebrown,78,1.50815609,28
steelblue,38,-0.729514332,29
