moduleColors,n,Zsummary.pres,num
turquoise,3380,11.6058418,1
blue,2141,3.765002085,2
brown,1685,8.656074152,3
yellow,1211,10.03730896,4
green,1189,8.6370585,5
red,1120,12.88173879,6
black,1020,-1.289228612,7
pink,988,2.362766667,8
magenta,587,-0.49910062,9
purple,464,5.512008259,10
greenyellow,458,-0.935624815,11
darkred,439,-0.530441148,12
tan,398,0.980007106,13
salmon,363,6.730867574,14
cyan,357,1.51793301,15
midnightblue,346,-2.284866905,16
lightcyan,332,1.391577411,17
grey60,252,3.657016678,18
lightgreen,230,8.09965654,19
royalblue,221,-0.721202704,20
darkgreen,196,2.027909158,21
darkturquoise,174,0.578281073,22
darkgrey,172,7.316963488,23
orange,170,3.362295995,24
darkorange,129,0.062054611,25
white,94,0.96402073,26
skyblue,81,0.516461682,27
saddlebrown,78,1.203124121,28
steelblue,38,-0.286028973,29
