"","moduleColors","n","Zsummary.pres","num"
"1","turquoise",3380,3.69840039900695,1
"2","blue",2141,0.195304116030078,2
"3","brown",1685,1.62173279376785,3
"4","yellow",1211,1.02747550728198,4
"5","green",1189,0.87879312679335,5
"6","red",1120,-0.0795802269847531,6
"7","black",1020,2.74106221109368,7
"8","pink",988,0.742702390253195,8
"9","magenta",587,-0.968069625397625,9
"10","purple",464,-0.219844458931832,10
"11","greenyellow",458,0.288755885239781,11
"12","darkred",439,2.05423326929917,12
"13","tan",398,-0.25791793495007,13
"14","salmon",363,1.49905326967827,14
"15","cyan",357,1.10096459045727,15
"16","midnightblue",346,-1.14677493331355,16
"17","lightcyan",332,2.2159512383277,17
"18","grey60",252,-0.869245405641179,18
"19","lightgreen",230,4.47116582940937,19
"20","royalblue",221,3.69110138476752,20
"21","darkgreen",196,1.34793279636548,21
"22","darkturquoise",174,5.54861545015337,22
"23","darkgrey",172,-0.50414186072719,23
"24","orange",170,-0.160264536037443,24
"25","darkorange",129,0.626917545360026,25
"26","white",94,5.11852005788145,26
"27","skyblue",81,-0.34652682331473,27
"28","saddlebrown",78,0.411562360695403,28
"29","steelblue",38,-0.132467291497069,29
